image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
perspectiveimage012_jpg.rf.002ba2581f0413a62f2be1cf77e12dd3,,,,,,,,,,
2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01,,,,,,,,,,
2674398444_jpg.rf.0361fce335f75c1f452dde1cbd69af41,0,495.3381652832031,478.2823791503906,569.6618041992188,478.2823791503906,569.6618041992188,614.7176513671875,495.3381652832031,614.7176513671875,ANA080514DHGE38V4TBT246927890   2070031
4534855391_jpg.rf.0326bb148daaa3af4d4ebafb59529913,0,299.3379211425781,88.13121795654297,396.6620788574219,88.13121795654297,396.6620788574219,216.8687744140625,299.3379211425781,216.8687744140625,QR Love
IMG_20220601_164548_jpg.rf.047dab71a8db8ce70dc0e1ce9dda4813,,,,,,,,,,
0425608272_jpg.rf.04f20f3e405a8fd81c1c657321ea8961,0,222.5220489501953,294.59808349609375,389.4779357910156,294.59808349609375,389.4779357910156,386.068603515625,222.5220489501953,386.068603515625,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,0,403.90093994140625,179.12222290039062,468.09906005859375,179.12222290039062,468.09906005859375,257.67779541015625,403.90093994140625,257.67779541015625,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,1,159.50167846679688,399.57574462890625,229.6983184814453,399.57574462890625,229.6983184814453,458.82427978515625,159.50167846679688,458.82427978515625,
IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66,,,,,,,,,,
4406534026_jpg.rf.04805dda378057735759b285b7e40a86,0,325.4936218261719,74.06458282470703,600.50634765625,74.06458282470703,600.50634765625,523.9354248046875,325.4936218261719,523.9354248046875,MECARD:N:Jason Pinto;TEL:9786949992;EMAIL:jasonp@interlinkONE.com;ADR:;ORG:interlinkONE;;
4247266998_jpg.rf.01e5592eaaa51b1d9e89a2340b583258,0,179.87527465820312,223.48895263671875,501.1247253417969,223.48895263671875,501.1247253417969,386.51104736328125,179.87527465820312,386.51104736328125,
4696436381_jpg.rf.05141f0cdbcbae3fd6f6a78b33e02617,0,290.476806640625,489.2389831542969,368.523193359375,489.2389831542969,368.523193359375,602.760986328125,290.476806640625,602.760986328125,http://qr.westergasfabriek.nl/480
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,,,,,,,,,,
perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e,,,,,,,,,,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,0,288.2633361816406,164.8130340576172,375.7366638183594,164.8130340576172,375.7366638183594,244.1869659423828,288.2633361816406,244.1869659423828,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,1,496.9920959472656,258.1507568359375,543.0079345703125,258.1507568359375,543.0079345703125,360.64923095703125,496.9920959472656,360.64923095703125,http://t4g.fr/ae
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,2,74.05485534667969,300.14385986328125,109.94514465332031,300.14385986328125,109.94514465332031,380.2561340332031,74.05485534667969,380.2561340332031,
